Num | Type     | mCarre | NbPersonMax | Elec | Eau |  Wifi | Reserve | Prix  |
----+----------+--------+-------------+------+-----+-------+---------|-------|
  1 | Tente    |    40  |       3     |  1   |  1  |   0   |    0    | 13.50 |
  2 | Tente    |    80  |       5     |  1   |  1  |   0   |    0    | 12.50 |
  3 | Caravane |   100  |       6     |  1   |  1  |   1   |    0    | 16.00 | 
  4 | Bungalow |   120  |       3     |  1   |  1  |   1   |    0    | 40.00 |
  5 | Bungalow |   145  |       6     |  1   |  1  |   1   |    0    | 45.50 |
  6 | Tente    |    70  |       2     |  0   |  1  |   0   |    0    | 10.00 |
  7 | Caravane |   100  |       4     |  1   |  1  |   0   |    0    | 14.00 |
  8 | Caravane |   100  |       4     |  1   |  1  |   0   |    0    | 14.00 | 
  9 | Tente    |    50  |       2     |  0   |  0  |   0   |    0    | 10.00 |
 10 | Caravane |   110  |       4     |  1   |  1  |   0   |    0    | 17.00 |
 11 | Caravane |   140  |       4     |  1   |  1  |   0   |    0    | 20.00 |
 12 | Tente    |    80  |       3     |  1   |  0  |   0   |    0    | 14.00 |
 13 | Bungalow |   120  |       2     |  1   |  1  |   1   |    0    | 42.00 |
 14 | Bungalow |   140  |       4     |  1   |  1  |   1   |    0    | 43.00 |
 15 | Caravane |    75  |       3     |  1   |  1  |   0   |    0    | 24.00 |
 16 | Tente    |    45  |       2     |  0   |  0  |   0   |    0    | 14.00 | 
 17 | Bungalow |   140  |       5     |  1   |  1  |   1   |    0    | 46.00 | 
 18 | Caravane |   120  |       4     |  1   |  1  |   1   |    0    | 20.00 |
 19 | Caravane |   100  |       3     |  1   |  1  |   1   |    0    | 19.00 |
 20 | Caravane |   111  |       4     |  1   |  1  |   0   |    0    | 25.00 |
 21 | Tente    |    85  |       2     |  0   |  1  |   0   |    0    | 14.00 | 
